No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
148,PreTS_LGCSGGMIZREWMX-UHFFFAOYSA-N,None,None,None,None,None,-367.133734090959
149,PreTS_LPMBXRNRAJZWRD-UHFFFAOYSA-N,None,None,None,None,None,-580.715233690814
150,PreTS_PIEYRYXIIHGLCT-UHFFFAOYSA-N,None,None,None,None,None,-1342.395348738966
151,PreSm_KDGATBSHELBYPB-UHFFFAOYSA-N,None,None,None,None,None,-555.445335417659
152,PreSm_JJEFBABIRUGHOA-UHFFFAOYSA-N,None,None,None,None,None,-1263.574904712345
153,PreTS_FDLXTVHNGIGIMS-UHFFFAOYSA-N,None,None,None,None,None,-1118.894218013531
154,PreTS_PIOIUPLQDWGQQE-UHFFFAOYSA-N,None,None,None,None,None,-516.201849228525
155,PreTS_GLJIQVPGZFGRPR-UHFFFAOYSA-N,None,None,None,None,None,-733.130302476921
156,PreTS_ABNVMMWEVPGMRK-UHFFFAOYSA-N,None,None,None,None,None,-501.338303844476
157,PreTS_UMXNLJOAPDLISI-UHFFFAOYSA-N,None,None,None,None,None,-612.421016086425
158,PreTS_YCAXFIWJUISGJK-UHFFFAOYSA-N,None,None,None,None,None,-808.525786820074
159,PreSm_BAPYEJRXHRDUON-UHFFFAOYSA-N,None,None,None,None,None,-351.068431357596
160,PreSm_GOMGXLWCJGBKOR-UHFFFAOYSA-N,None,None,None,None,None,-593.103624103567
161,PreSm_JQIRWQNTXPISOM-UHFFFAOYSA-N,None,None,None,None,None,-808.09907438615
162,BZHJMEDXRYGGRV-UHFFFAOYSA-N,None,None,None,None,None,-537.524848675299
163,PreSm_SRNHWCMQXIVLEN-UHFFFAOYSA-N,None,None,None,None,None,-883.25705788989
164,PreSm_SPRUHIKLOYEBHP-UHFFFAOYSA-N,None,None,None,None,None,-727.473068987518
165,PreSm_PLHTVEWPTJUOJO-UHFFFAOYSA-N,None,None,None,None,None,-654.696374061422
166,PreTS_NWYJUBCWHZKKLL-UHFFFAOYSA-N,None,None,None,None,None,-766.688165800145
167,PreTS_DGBKSXOTGZAENT-UHFFFAOYSA-N,None,None,None,None,None,-577.655606010089
168,BAPJBEWLBFYGME-UHFFFAOYSA-N,None,None,None,None,None,-305.923365679512
169,PreSm_YDSOAHBTIMGZFT-UHFFFAOYSA-N,None,None,None,None,None,-504.408715682922
170,PreSm_JOQQJWBRFYQTOM-UHFFFAOYSA-N,None,None,None,None,None,-651.638738442078
171,PreSm_OLHGYYIJFCQEIL-UHFFFAOYSA-N,None,None,None,None,None,-769.326430315763
172,PreSm_WMYNDAIWZJCKOD-UHFFFAOYSA-N,None,None,None,None,None,-670.762134521249
173,PreSm_ADZIKAQRUJTIJG-UHFFFAOYSA-N,None,None,None,None,None,-611.379521733932
174,PreTS_SPRUHIKLOYEBHP-UHFFFAOYSA-N,None,None,None,None,None,-727.45929495036
175,PreTS_YCQMUASGJSRWQF-UHFFFAOYSA-N,None,None,None,None,None,-693.901170042008
176,PreTS_UVTIJDABSXGFMK-UHFFFAOYSA-N,None,None,None,None,None,-1381.569284789623
