No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
365,PreSm_CNKLWERGKGROOW-UHFFFAOYSA-N,0.10370055,0.15292652477899082,0.15198216,0.14081189,0.04922582,-289.327301154779
366,PreTS_QYCKOLHHORCVDM-UHFFFAOYSA-N,0.20118966,0.25731719004500064,0.25637299,0.24220141,0.05612753,-616.764531830045
367,FPYJFEHAWHCUMM-UHFFFAOYSA-N,0.02758031,0.06264780811096671,0.061703589999999996,0.05659623,0.0350675,-379.345921168111
368,PreTS_PGAHWRPCFHBSGZ-UHFFFAOYSA-N,0.21643104,0.27509980908507714,0.2741556,0.25866336,0.05866877,-672.131721889085
369,WLAMNBDJUVNPJU-UHFFFAOYSA-N,0.10139178,0.14400702504605079,0.14306281999999998,0.13456795,0.04261525,-346.430064745046
370,PreTS_ZKGKGSZVHGWIKZ-UHFFFAOYSA-N,0.23038528,0.2899129397410434,0.28896873,0.27333378,0.05952767,-656.113267679741
371,PreSm_RYGJTDZNQQMTAD-UHFFFAOYSA-N,0.19819649,0.25761440175301686,0.25667019,0.24091198,0.05941791,-616.781243761753
372,PreTS_JFQWDJUUOXFUHD-UHFFFAOYSA-N,0.10920985,0.15295229915602704,0.15200808999999998,0.14304292,0.04374245,-289.326465339156
373,PreTS_OUXRBAJJWASHKN-UHFFFAOYSA-N,0.40552695,0.4872005153289365,0.48625630999999997,0.45985918,0.08167357,-967.472700385329
374,PreTS_CNKLWERGKGROOW-UHFFFAOYSA-N,0.10793611,0.15257763456799012,0.15163342999999999,0.14244425,0.04464153,-289.322589284568
375,XNLICIUVMPYHGG-UHFFFAOYSA-N,0.09577512,0.13714379015101485,0.13619958,0.12830965,0.04136867,-271.163610530151
376,NVJUHMXYKCUMQA-UHFFFAOYSA-N,0.11940851,0.16133341234200316,0.1603892,0.15210285,0.04192491,-272.348169752342
377,PreSm_OUXRBAJJWASHKN-UHFFFAOYSA-N,0.4036242,0.4878841640990004,0.48693996,0.45912182,0.08425997,-967.485681244099
378,PreTS_RAFBSPDJIKTCTH-UHFFFAOYSA-N,0.32119981,0.3947477656539604,0.39380356,0.3713165,0.07354796,-962.609743475654
379,XTXRWKRVRITETP-UHFFFAOYSA-N,0.06377644,0.10249804502700499,0.10155384,0.09462101,0.0387216,-306.512107065027
380,PreSm_NAKOQLYUZUIIKF-UHFFFAOYSA-N,0.18780247,0.24947415944507156,0.24852995,0.23159446,0.06167169,-652.966259469445
381,PreSm_AHPNQRDUZRCXIO-UHFFFAOYSA-N,0.24098073,0.3088118496179959,0.30786765,0.28793276,0.06783112,-731.571143719618
382,PreTS_PIOIUPLQDWGQQE-UHFFFAOYSA-N,0.14581973,0.20042839473399,0.19948417999999998,0.18618184,0.05460866,-517.242944444734
383,FWZUNOYOVVKUNF-UHFFFAOYSA-N,0.0914315,0.13286615114600409,0.13192194000000002,0.12383109,0.04143465,-345.829006061146
384,PreTS_GOMGXLWCJGBKOR-UHFFFAOYSA-N,0.07541187,0.12376867448199391,0.12282446999999999,0.11213469,0.04835681,-594.081726184482
385,PreSm_JENUJYSSLPMKAD-UHFFFAOYSA-N,0.26885834,0.33936336388808286,0.33841915,0.31745246,0.07050502,-770.900682713888
386,KFDVPJUYSDEJTH-UHFFFAOYSA-N,0.09157882,0.13031988746303114,0.12937567,0.12272297,0.03874106,-325.705420777463
387,PreSm_MRTAOOLXDIZHHG-UHFFFAOYSA-N,0.26375849,0.32590246174902404,0.32495826,0.30773319,0.06214398,-659.244043421749
388,PreSm_BCRZWWLHOSUTHQ-UHFFFAOYSA-N,0.12390403,0.18410669131708346,0.18316249,0.16782925,0.06020266,-1344.220240651317
389,PreTS_UQZPELAELWPGDS-UHFFFAOYSA-N,0.22289288,0.2803196943750663,0.27937549,0.26447046,0.05742681,-580.823526584375
390,PreTS_KTSLXQZJGCZFNT-UHFFFAOYSA-N,0.26691132,0.3323699519510228,0.33142573999999997,0.31268375,0.06545863,-959.979609581951
391,PreTS_SKWSSZMCIIIBEJ-UHFFFAOYSA-N,0.21280621,0.2766160554240287,0.27567185000000005,0.25810733,0.06380985,-692.218043205424
392,XYLMUPLGERFSHI-UHFFFAOYSA-N,0.13015257,0.17152486363499975,0.17058065,0.16253748,0.04137229,-348.986254403635
393,PreSm_ANRRNARYQLVHFP-UHFFFAOYSA-N,0.10636886,0.16088207984796554,0.15993786000000002,0.14666534,0.05451321,-590.100730699848
394,PreSm_KWZSFJRUKQCUSQ-UHFFFAOYSA-N,0.14195759,0.20089074214001812,0.19994654,0.18475738,0.05893315,-517.24913546214
395,PreSm_UMXNLJOAPDLISI-UHFFFAOYSA-N,0.15890095,0.21840548268698967,0.21746127999999998,0.20163234,0.05950454,-613.624943092687
396,PreTS_RIEIHJCWUOZMMR-UHFFFAOYSA-N,0.21588494,0.2750995446659772,0.27415534,0.25855378,0.0592146,-672.107403524666
397,PreTS_IOCTVKGDHOEXDG-UHFFFAOYSA-N,0.14960154,0.20679468721698413,0.20585048,0.1912884,0.05719314,-725.753342797217
398,PreTS_WOUGNELDYFVXHQ-UHFFFAOYSA-N,0.28159126,0.3464523920439433,0.34550818,0.32694633,0.06486113,-734.711277322044
399,PreSm_XOWDNMOPCKCIPQ-UHFFFAOYSA-N,0.22547829,0.2880963912060679,0.28715218,0.26984067,0.06261811,-656.104863901206
400,PreSm_KDGATBSHELBYPB-UHFFFAOYSA-N,0.16861233,0.23084026132107738,0.22989606,0.21317684,0.06222793,-556.585288431321
401,PreTS_STCOCKRYHSNABS-UHFFFAOYSA-N,0.1508111,0.20759093780702642,0.20664673,0.1923263,0.05677984,-725.741910257807
402,PreTS_FFAJSNBYSWUBPS-UHFFFAOYSA-N,0.1491068,0.1991700726620138,0.19822587,0.1864921,0.05006327,-424.983559112662
403,PreSm_LHSHBUJBRHHDKM-UHFFFAOYSA-N,0.12804767,0.18038123854000787,0.17943704,0.16721183,0.05233357,-734.11991927854
404,PreSm_LQBJCMCYAIBSNA-UHFFFAOYSA-N,0.20597453,0.2669247340700167,0.26598052,0.24929758,0.0609502,-541.73959147407
405,PreSm_BAPYEJRXHRDUON-UHFFFAOYSA-N,0.17000755,0.22414858815500338,0.22320439,0.20990668,0.05414104,-351.911734738155
406,PreTS_FTNGLPGTWWHWDD-UHFFFAOYSA-N,0.21293099,0.2693466043169792,0.26840239,0.25391385,0.05641561,-559.727271684317
407,PreTS_USNXCDFKELLKCT-UHFFFAOYSA-N,0.13276225,0.18396643716897643,0.18302223,0.170936,0.05120419,-458.070852897169
